Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage,Linkedin
Verilite,https://finder.startupnationcentral.org/company_page/verilite,Energy Asset Management Platform,"Enterprise, IT & Data Infrastructure",2017,01-Oct,Pre-Funding,
Almond-QMS,https://finder.startupnationcentral.org/company_page/almond-qms,Optimizing the Medical Device Development Process,Life Sciences & HealthTech,2015,01-Oct,Pre-Funding,11335008
Hofit Kibbutz Kinneret,https://finder.startupnationcentral.org/company_page/hofit-kibbutz-kinneret,Plastic Parts and Accessories,Industrial Technologies,2010,51-200,Mature,1662041
Celestya,https://finder.startupnationcentral.org/company_page/celestya,Human Behavior and Awareness Training for Mitigating Cyber Risks,Security Technologies,2014,01-Oct,Pre-Funding,
OpServ,https://finder.startupnationcentral.org/company_page/opserv,Business Management Platform for Start-up Companies,"Enterprise, IT & Data Infrastructure",2010,01-Oct,Pre-Funding,
Hulyo Tourism,https://finder.startupnationcentral.org/company_page/hulyo-tourism,Mobile App for Last-minute Flights,Retail & Marketing,2012,01-Oct,Pre-Funding,5309528
AimBetter,https://finder.startupnationcentral.org/company_page/aimbetter,SQL Server Database Monitoring,"Enterprise, IT & Data Infrastructure",2014,Nov-50,Pre-Funding,6444168
Nestlogic,https://finder.startupnationcentral.org/company_page/nestlogic,Big-data Profiling Tools,"Enterprise, IT & Data Infrastructure",2015,01-Oct,Pre-Funding,10572193
WONDER JEWEL,https://finder.startupnationcentral.org/company_page/wonder-jewel,SMART DESIGNER WEARABLES for personal safety,Security Technologies,2021,01-Oct,Pre-Seed,
Emris Pharma,https://finder.startupnationcentral.org/company_page/emris-pharma,,Life Sciences & HealthTech,2023,,Pre-Seed,
PhoneOptika,https://finder.startupnationcentral.org/company_page/phoneoptika,Digital Display Experience,Content & Media,2016,01-Oct,Seed,
Ripples,https://finder.startupnationcentral.org/company_page/ripples,Customer Feedback Analysis Platform,"Enterprise, IT & Data Infrastructure",2023,,Pre-Funding,81850427
SEM1NAL,https://finder.startupnationcentral.org/company_page/sem1nal,AI-powered Text Analysis and Content Optimization Technology,Content & Media,2019,01-Oct,Pre-Funding,64852024
Meetengo,https://finder.startupnationcentral.org/company_page/meetengo,Business Networking Platform,"Enterprise, IT & Data Infrastructure",2019,01-Oct,Pre-Funding,29290163
Entou Labs,https://finder.startupnationcentral.org/company_page/entou-labs,Nutritional Supplements for Cannabis Users,AgriFood-tech & Water,2016,01-Oct,Pre-Funding,35648723
Spetz,https://finder.startupnationcentral.org/company_page/spetz1,Mobile App for Locating Service Providers,Retail & Marketing,2002,Nov-50,Seed,28864040
Chatlist,https://finder.startupnationcentral.org/company_page/chatlist,Social Network for Real Estate Transactions,Retail & Marketing,2017,01-Oct,Seed,
Meditrac,https://finder.startupnationcentral.org/company_page/meditrac-medical-equipment,"Medical Devices for Ambulatory, Nonsurgical Treatment of Spinal Disorders ",Life Sciences & HealthTech,1992,01-Oct,Pre-Funding,2242803
RIO SYSTEMS,https://finder.startupnationcentral.org/company_page/rio-systems,Adaptive Smart Antenna Technologies,Industrial Technologies,2005,Nov-50,Pre-Funding,10385778
Spetrotec,https://finder.startupnationcentral.org/company_page/spetrotec,Automotive Security and Monitoring Systems,Smart Mobility,1989,51-200,Mature,156623
World Jewish Travel,https://finder.startupnationcentral.org/company_page/world-jewish-heritage,Crowdsourced Jewish Heritage Platform,Content & Media,2011,01-Oct,Pre-Funding,64687416
TGL S.P. Industries,https://finder.startupnationcentral.org/company_page/tgl-s-p-industries,Rubber-to-metal Bonding Products,Industrial Technologies,1952,Nov-50,Pre-Funding,5092145
Israel Shipyards,https://finder.startupnationcentral.org/company_page/israel-shipyards,"Naval Vessel Design, Construction, and Repair",Industrial Technologies,1959,51-200,Public,18848733
innoBots,https://finder.startupnationcentral.org/company_page/innobots,Unmanned Systems and Robotics Technology,Security Technologies,2011,01-Oct,Pre-Funding,6425374
Efobus,https://finder.startupnationcentral.org/company_page/efobus,Data Tracking for Public Transportation,Smart Mobility,2011,01-Oct,Pre-Funding,
VirusBay,https://finder.startupnationcentral.org/company_page/virusbay,Threat Intelligence Management,Security Technologies,2018,01-Oct,Pre-Funding,27176183
geekApps,https://finder.startupnationcentral.org/company_page/geekapps,Comprehensive Digital Solutions for SMBs,Retail & Marketing,2016,Nov-50,Seed,18024587
ICD Pharma,https://finder.startupnationcentral.org/company_page/icd-pharma,Cannabinoid Products,Life Sciences & HealthTech,2017,01-Oct,Pre-Funding,18108109
BRAVE,https://finder.startupnationcentral.org/company_page/brave,Performance Optimization Platform for Publishers,Retail & Marketing,2017,Nov-50,Pre-Funding,
GeneInformed,https://finder.startupnationcentral.org/company_page/genevironment,Genetic Analysis for Environmental Sensitivities,Life Sciences & HealthTech,2018,01-Oct,Pre-Funding,
iCapital,https://finder.startupnationcentral.org/company_page/icapital-financial-solutions,Automated Solutions for the Finance Industry,FinTech,2015,01-Oct,Pre-Funding,18391606
meeba,https://finder.startupnationcentral.org/company_page/meeba,Social Network for Travelers,Content & Media,2016,01-Oct,Pre-Funding,18102649
Global Roto Sheka,https://finder.startupnationcentral.org/company_page/global-roto-sheka,In-mold Labeling and Flexible Packaging Technology,AgriFood-tech & Water,1983,Nov-50,Pre-Funding,10444466
Tech-Mer,https://finder.startupnationcentral.org/company_page/tech-mer,Network-centric Interoperability Communication Solutions,Industrial Technologies,2006,01-Oct,Pre-Funding,1473955
Sensegait,https://finder.startupnationcentral.org/company_page/sensegait,Belt for Noninvasive Neuroprosthesis,Life Sciences & HealthTech,2021,01-Oct,Pre-Funding,79994656
E-SELF.AI,https://finder.startupnationcentral.org/company_page/e-self-ai,,"Enterprise, IT & Data Infrastructure",2022,01-Oct,Pre-Funding,
Kerberus Cyber Security,https://finder.startupnationcentral.org/company_page/kerberus-cyber-security,,Security Technologies,2022,01-Oct,Pre-Funding,81893498
Ness Fertigation,https://finder.startupnationcentral.org/company_page/ness-fertigation,Fertigation Technology,AgriFood-tech & Water,2022,01-Oct,Pre-Funding,96407001
Weelrn,https://finder.startupnationcentral.org/company_page/weelrn,Online Network and Learning Management Platform,Content & Media,2019,01-Oct,Pre-Funding,37825030
Taltoola,https://finder.startupnationcentral.org/company_page/taltoola,Nail Shaping Device,Life Sciences & HealthTech,2017,01-Oct,Pre-Funding,
CogAid,https://finder.startupnationcentral.org/company_page/cogaid,Assistive Tools for Workers with Cognitive Disabilities,Life Sciences & HealthTech,2015,01-Oct,Pre-Funding,18252518
Eilor,https://finder.startupnationcentral.org/company_page/eilor,Magnetic Core Producer,Industrial Technologies,1955,Nov-50,Pre-Funding,
LDS,https://finder.startupnationcentral.org/company_page/lds,Nano-sized Liquid Drug Delivery,Life Sciences & HealthTech,2012,01-Oct,Pre-Funding,
HNA,https://finder.startupnationcentral.org/company_page/hna-noise-and-vibration-control,Industrial Noise Reduction Technology,Industrial Technologies,1977,01-Oct,Mature,18044760
CrunchMind,https://finder.startupnationcentral.org/company_page/crunchmind,Data-driven Publishing Platform,Retail & Marketing,2014,Nov-50,Pre-Funding,4858320
Habonim Industrial Valves & Actuators,https://finder.startupnationcentral.org/company_page/habonim-industrial-valves-actuators,Ball Valves and Pneumatic Actuators,Industrial Technologies,,51-200,Mature,817728
MedicNRG,https://finder.startupnationcentral.org/company_page/medicnrg,Real-time Measurement Device for Root Canals,Life Sciences & HealthTech,2000,Nov-50,Pre-Funding,
Ginger Gene,https://finder.startupnationcentral.org/company_page/ginger-gene,Support and Training Platform,"Enterprise, IT & Data Infrastructure",2012,01-Oct,Pre-Funding,2869080
HISH Processing & Conveying Technology,https://finder.startupnationcentral.org/company_page/hish,"Food Processing, Conveying, and Storage Machines",AgriFood-tech & Water,1945,01-Oct,Pre-Funding,5166860
Holo-Or,https://finder.startupnationcentral.org/company_page/holo-or,Diffractive Optical Element Designer and Manufacturer,Industrial Technologies,1989,Nov-50,Pre-Funding,2503404
WhoPaze,https://finder.startupnationcentral.org/company_page/whopaze,Payment By Proxy While Shopping,FinTech,2016,01-Oct,Pre-Funding,10477960
Cryptonomica,https://finder.startupnationcentral.org/company_page/cryptonomica,Global Identity Verification System,Security Technologies,2015,01-Oct,Pre-Funding,9552383
teVeo,https://finder.startupnationcentral.org/company_page/teveo,Learning Platform for Emotional Intelligence and Interpersonal Communication,Life Sciences & HealthTech,2021,01-Oct,Seed,76104743
Shamna Foods,https://finder.startupnationcentral.org/company_page/shamna-foods,Cold-pressed Herbs and Spices,AgriFood-tech & Water,2021,01-Oct,Pre-Funding,
JovianX,https://finder.startupnationcentral.org/company_page/jovianx,Cloud App Platform for SaaS,"Enterprise, IT & Data Infrastructure",2018,01-Oct,Pre-Funding,28126696
Majordomo,https://finder.startupnationcentral.org/company_page/smart-container,Real-time Inventory Forecasting Solution,Retail & Marketing,2018,01-Oct,Pre-Funding,18420939
NovoRoll,https://finder.startupnationcentral.org/company_page/novoroll,Out-stream Video Ad Units,Retail & Marketing,2015,01-Oct,Pre-Funding,7590748
Grand App,https://finder.startupnationcentral.org/company_page/grand-app,Holistic System for Caregivers in Home Care Services,Life Sciences & HealthTech,2022,01-Oct,Pre-Seed,82125975
NurExone Biologic,https://finder.startupnationcentral.org/company_page/nurexone-biologic,EV-based Drug Platform to Treat Damage in the Central Nerve System ,Life Sciences & HealthTech,2020,Nov-50,Public,72446905
GoSociali,https://finder.startupnationcentral.org/company_page/gosociali,Social Networking Event Platform,Content & Media,2018,01-Oct,Pre-Funding,35600607
Roads.ai,https://finder.startupnationcentral.org/company_page/roads-ai,Digital Platform for Optimizing Driving Decisions ,Smart Mobility,2017,01-Oct,Pre-Funding,
OptiCity,https://finder.startupnationcentral.org/company_page/opticity,Transportation Management and Optimization Platform for Organizations,Smart Mobility,2017,Nov-50,Pre-Funding,223489475
IronComm,https://finder.startupnationcentral.org/company_page/ironcomm,AI-powered Communication System,Industrial Technologies,2020,01-Oct,Pre-Funding,28433976
CTH (Cannabis Technology House),https://finder.startupnationcentral.org/company_page/cannabis-technology-house,Cannabis Delivery Systems,Life Sciences & HealthTech,2019,01-Oct,Seed,19150325
ApoRx Biopharmaceuticals,https://finder.startupnationcentral.org/company_page/aporx-biopharmaceuticals-ltd,Targeted Protein Degradation Drug Discovery,Life Sciences & HealthTech,2021,01-Oct,Pre-Funding,70961472
Nufar Natural Products,https://finder.startupnationcentral.org/company_page/nufar-natural-products,Natural Products and Supplements,Life Sciences & HealthTech,1995,01-Oct,Pre-Funding,
MAXweb,https://finder.startupnationcentral.org/company_page/maxweb,Engineering Information System,"Enterprise, IT & Data Infrastructure",2005,01-Oct,Pre-Funding,13187911
Silmet,https://finder.startupnationcentral.org/company_page/silmet,Dental Restorative Materials Manufacturer,Life Sciences & HealthTech,1967,01-Oct,Pre-Funding,17932978
Elcon-Mamab Control Instruments,https://finder.startupnationcentral.org/company_page/sensinext,Industrial Measurement and Control Equipment,Industrial Technologies,1984,01-Oct,Pre-Funding,11398007
Visior Technologies,https://finder.startupnationcentral.org/company_page/visior-technologies,Eye and Brain Stimulation Treatment Platform,Life Sciences & HealthTech,2013,01-Oct,Pre-Funding,5022335
AC/DC_net,https://finder.startupnationcentral.org/company_page/masterkey,Client-side Security,Security Technologies,2006,01-Oct,Pre-Funding,
P. Marom,https://finder.startupnationcentral.org/company_page/p-marom,Custom Agricultural Structures,AgriFood-tech & Water,2003,01-Oct,Pre-Funding,739696
Etgar,https://finder.startupnationcentral.org/company_page/etgar,Harvesting Tools and Equipment,AgriFood-tech & Water,2012,01-Oct,Pre-Funding,
Artis Multimedia,https://finder.startupnationcentral.org/company_page/artis-multimedia,Enterprise Content Management Solutions,"Enterprise, IT & Data Infrastructure",1995,Nov-50,Pre-Funding,768570
DATwise,https://finder.startupnationcentral.org/company_page/datwise,Environmental Health and Safety Management System,"Enterprise, IT & Data Infrastructure",2012,01-Oct,Pre-Funding,68803644
PhotonicSys,https://finder.startupnationcentral.org/company_page/photonicsys,Photonic and Optical Solutions,Industrial Technologies,2014,01-Oct,Pre-Funding,11510181
Talink.me,https://finder.startupnationcentral.org/company_page/talink-me,Talent Acquisition Platform,"Enterprise, IT & Data Infrastructure",2008,01-Oct,Pre-Funding,28140167
K&S Advanced Systems,https://finder.startupnationcentral.org/company_page/k-s-advanced-systems,Vibration Isolation for Precision Tools and Instruments,Industrial Technologies,2015,01-Oct,Pre-Funding,10458176
Sagitta E. S.,https://finder.startupnationcentral.org/company_page/sagitta-e-s,Manufacturing Equipment for the Fiber Optics Industry,Industrial Technologies,1995,Nov-50,Seed,45067
MyShops,https://finder.startupnationcentral.org/company_page/myshops,Marketplace for Local Shopping,Retail & Marketing,2023,01-Oct,Pre-Funding,90953827
Ormic Systems,https://finder.startupnationcentral.org/company_page/ormic-systems,Fire-risk Management Platform,Security Technologies,2017,01-Oct,Pre-Funding,10291222
MearDev,https://finder.startupnationcentral.org/company_page/meardev,Cord Blood Collection Device,Life Sciences & HealthTech,2020,01-Oct,Pre-Funding,
CannaLife,https://finder.startupnationcentral.org/company_page/cannalife-ltd,Crowd Platform for Insights from the Cannabis Industry,Life Sciences & HealthTech,2019,01-Oct,Pre-Funding,70533779
CloudHiro,https://finder.startupnationcentral.org/company_page/cloudhawk,AI-based Cloud Optimization Tool,"Enterprise, IT & Data Infrastructure",2017,01-Oct,Pre-Funding,40809382
Quality Bytes,https://finder.startupnationcentral.org/company_page/quality-bytes,Secure Applications for Internet Connectivity and VoIP,Security Technologies,2000,Nov-50,Pre-Funding,2028292
Otentik,https://finder.startupnationcentral.org/company_page/otentik,Protective Fabrics for Shade on the Beach,Industrial Technologies,2011,01-Oct,Pre-Funding,
SWOUND,https://finder.startupnationcentral.org/company_page/swound,Music Creation Platform,Content & Media,2022,01-Oct,Pre-Funding,77112559
Sneaky Panda,https://finder.startupnationcentral.org/company_page/sneaky-panda,Creating Innovative Mid-core Mobile Games,Content & Media,2021,01-Oct,Seed,70432473
Globokids Games,https://finder.startupnationcentral.org/company_page/globokids-games,Virtual World for Kids,Content & Media,2015,01-Oct,Pre-Funding,10518993
CatchMe Theraputics,https://finder.startupnationcentral.org/company_page/catchme-theraputics,Precision Medicine for Epitranscriptome Machinery,Life Sciences & HealthTech,2021,01-Oct,Pre-Seed,81306978
Day 2 Games,https://finder.startupnationcentral.org/company_page/day-2-games, Mobile Casual Game Developer,Content & Media,2021,01-Oct,Seed,76111754
Viosense,https://finder.startupnationcentral.org/company_page/viosense,Safe Dating App,Content & Media,2022,Nov-50,Pre-Funding,87442117
Huntly,https://finder.startupnationcentral.org/company_page/huntly,Job Candidate Sourcing Platform,"Enterprise, IT & Data Infrastructure",2021,01-Oct,Pre-Funding,76900915
Ekron Software,https://finder.startupnationcentral.org/company_page/ekron-sortware-ltd,Cyber Network Monitoring,Security Technologies,2020,Nov-50,Pre-Funding,42145528
Moonscape,https://finder.startupnationcentral.org/company_page/moonscape1,Lunar Services,Aerospace & Aviation,2020,01-Oct,Pre-Funding,53077079
EV Kinetics Technologies,https://finder.startupnationcentral.org/company_page/ev-kinetics-technologies-ltd,Electric Tractive Power System for Vehicles,Smart Mobility,2019,01-Oct,Pre-Funding,
Advisol,https://finder.startupnationcentral.org/company_page/advisol,Manufacturer of Polarizing Filters for LCD Projectors,Industrial Technologies,2009,01-Oct,Pre-Funding,
Malcam,https://finder.startupnationcentral.org/company_page/malcam,Microwave Tomography Systems for Volumetric Measurement,Industrial Technologies,1994,Nov-50,Pre-Funding,723466
Shimeba,https://finder.startupnationcentral.org/company_page/shimeba,Indoor Navigation System,Retail & Marketing,2014,01-Oct,Pre-Funding,3318920
DiViNetworks,https://finder.startupnationcentral.org/company_page/divinetworks,Data Delivery and Network Optimization,Industrial Technologies,2004,Nov-50,Seed,1570961
To-Be Education,https://finder.startupnationcentral.org/company_page/to-be-education,Dilemma-based Learning Games,Content & Media,2012,01-Oct,Seed,5087153
Cast-TV,https://finder.startupnationcentral.org/company_page/cast-tv,Solutions for OTT and IPTV Streaming,Industrial Technologies,2005,01-Oct,Pre-Funding,4850214
Toolgal,https://finder.startupnationcentral.org/company_page/toolgal-degania-industrial-diamonds,Diamond-enhanced Tools for Cutting and Polishing,Industrial Technologies,1968,Nov-50,Pre-Funding,10434651
Triber,https://finder.startupnationcentral.org/company_page/triber,Fitness Marketplace and Gym Management Platform,Retail & Marketing,2020,01-Oct,Pre-Funding,76532486
AcadeME,https://finder.startupnationcentral.org/company_page/academe,Career Development and Job Placement Platform,"Enterprise, IT & Data Infrastructure",2014,01-Oct,Pre-Funding,
Focus Telecom Group,https://finder.startupnationcentral.org/company_page/focus-telecom-group,Integrated Synchronization Solutions,Industrial Technologies,1995,Nov-50,Pre-Funding,5140017
Predictive Systems Engineering,https://finder.startupnationcentral.org/company_page/predictive-systems-engineering,Online Condition Monitoring,Industrial Technologies,2001,01-Oct,Pre-Funding,433500
VERTO,https://finder.startupnationcentral.org/company_page/jewels,Product Imaging for Online Retailers,Retail & Marketing,2017,01-Oct,Seed,
Safe Land,https://finder.startupnationcentral.org/company_page/safe-land,Autonomous Command & Control System for Drones,Aerospace & Aviation,2016,01-Oct,Pre-Funding,
Narrative Links,https://finder.startupnationcentral.org/company_page/narrative-links,Legal-Tech Solutions to Empower Legal Professionals,"Enterprise, IT & Data Infrastructure",2022,01-Oct,Seed,83068677
MeetWiv,https://finder.startupnationcentral.org/company_page/meetwiv,Social Network App for Business Travelers,Content & Media,2023,01-Oct,Pre-Funding,
dotPlay,https://finder.startupnationcentral.org/company_page/play,Digital File Size Reduction Algorithm,"Enterprise, IT & Data Infrastructure",2017,01-Oct,Pre-Funding,11386364
Uchannel Ventures,https://finder.startupnationcentral.org/company_page/uchannel-ventures,Content-sharing Platform,Content & Media,2020,01-Oct,Pre-Funding,
Lokali Community,https://finder.startupnationcentral.org/company_page/lokali-community,Gift Economy Community Platform,Retail & Marketing,2020,01-Oct,Pre-Funding,67682937
inspec.tech,https://finder.startupnationcentral.org/company_page/inspec-tech1,"Plastic Inspection Systems for Sheet, Film, and Pellet Producers",Industrial Technologies,2016,01-Oct,Seed,13224728
Vortex Ecological Technologies,https://finder.startupnationcentral.org/company_page/vortex,Industrial Pollution Control Systems,Industrial Technologies,1996,01-Oct,Pre-Funding,10306585
PUBLC,https://finder.startupnationcentral.org/company_page/livin-media,Collaborative Content-sharing Platform,FinTech,2014,01-Oct,Pre-Funding,10370390
FTS,https://finder.startupnationcentral.org/company_page/fts,"Convergent Billing, Charging, and Policy Control","Enterprise, IT & Data Infrastructure",1997,500+,Mature,9009
Volleto,https://finder.startupnationcentral.org/company_page/volleto,Communication Platform Between Customers and Brands,Retail & Marketing,2015,Nov-50,Pre-Funding,10100569
AtlasCT,https://finder.startupnationcentral.org/company_page/atlasct,Mapping Technology,Smart Mobility,1987,01-Oct,Pre-Funding,355773
Smart Door Systems,https://finder.startupnationcentral.org/company_page/sds-smart-locks1,Cloud-based Locking,Security Technologies,1997,01-Oct,Pre-Seed,18220012
EyeDo,https://finder.startupnationcentral.org/company_page/eyedo,Field Operation Management Solutions,"Enterprise, IT & Data Infrastructure",2017,01-Oct,Pre-Funding,
Kayran Technologies,https://finder.startupnationcentral.org/company_page/kayran-technologies,Web Application Vulnerability Scanner,Security Technologies,2019,01-Oct,Pre-Funding,76112569
PhoneDue Technology in Motion,https://finder.startupnationcentral.org/company_page/phonedue-technology-in-motion,Customer Engagement Solution,"Enterprise, IT & Data Infrastructure",2020,01-Oct,Pre-Funding,
OptimusQ,https://finder.startupnationcentral.org/company_page/optimusq,Campaign Management and Optimization Platform,Retail & Marketing,2020,01-Oct,Pre-Funding,
PickCherry,https://finder.startupnationcentral.org/company_page/pickcherry,NFT Platform,Content & Media,2021,Nov-50,Seed,79403052
Tairob Industrial Technology,https://finder.startupnationcentral.org/company_page/micro-foam-milk-makers,Micro-foam Technology for Naturally Sweet Milk,AgriFood-tech & Water,1997,01-Oct,Pre-Funding,
hoopsAI,https://finder.startupnationcentral.org/company_page/hoopsai,Real-time Sports Analysis and Commentary,FinTech,2019,01-Oct,Pre-Funding,18888909
HADRAN,https://finder.startupnationcentral.org/company_page/hadran-advanced-labeling-solutions,Automated Labeling System for Fruit and Vegetables,AgriFood-tech & Water,2001,01-Oct,Pre-Funding,
Virtual Extension,https://finder.startupnationcentral.org/company_page/virtual-extension,Wireless Lighting Control Systems,Energy-tech,1999,01-Oct,Pre-Funding,657972
oddin,https://finder.startupnationcentral.org/company_page/oddin,Web3 User Acquisition Platform,Retail & Marketing,2022,01-Oct,Pre-Funding,81648399
ViTAs Labs,https://finder.startupnationcentral.org/company_page/vitas-labs,Cognitive Training Tool,EdTech,2022,01-Oct,Pre-Funding,91059793
BeYou,https://finder.startupnationcentral.org/company_page/beyou,Intelligent Hiring Platform,"Enterprise, IT & Data Infrastructure",2022,01-Oct,Pre-Funding,13986221
Atlas Invest,https://finder.startupnationcentral.org/company_page/atlas-invest-1,AI-powered Private Debt Platform,FinTech,2022,01-Oct,Pre-Seed,87230133
Phoenix Native,https://finder.startupnationcentral.org/company_page/phoenix-native,Programmatic Platform for Native Advertising ,Retail & Marketing,2015,Nov-50,Pre-Funding,35544068
Israel Audiobook Project,https://finder.startupnationcentral.org/company_page/israel-audiobook-project,Teacher Dashboard for Data Collection,Content & Media,2016,01-Oct,Pre-Funding,
Trusty group,https://finder.startupnationcentral.org/company_page/trusty-group,Insurance Quote Aggregator and Automated Purchase Engine,FinTech,2018,01-Oct,Pre-Funding,42307253
Stay,https://finder.startupnationcentral.org/company_page/stay-labs,Healthy Dog Food Subscription Service,AgriFood-tech & Water,2019,Nov-50,Pre-Funding,68491696
Coverty,https://finder.startupnationcentral.org/company_page/coverty,All-in-one Tactical Surveillance Platform,Security Technologies,2019,01-Oct,Pre-Funding,42733939
Chartloop,https://finder.startupnationcentral.org/company_page/chartloop,Organization Chart Intelligence Platform,"Enterprise, IT & Data Infrastructure",2020,01-Oct,Pre-Funding,64538606
PassCall Advanced Technologies,https://finder.startupnationcentral.org/company_page/passcall-advanced-technologies,Advanced Mobile UI Solutions,Content & Media,1998,01-Oct,Seed,4870435
A2 Vision Technologies,https://finder.startupnationcentral.org/company_page/a2-vision-technologies,Lens Molds for Ophthalmic Manufacturers,Industrial Technologies,2008,01-Oct,Pre-Funding,
CardioArt Technologies,https://finder.startupnationcentral.org/company_page/cardioart-technologies,Noninvasive Measurement of Hemodynamic Parameters,Life Sciences & HealthTech,2005,01-Oct,Pre-Funding,8800934
BudgetNow,https://finder.startupnationcentral.org/company_page/budgetnow,Smart Planning and Analytics Platform,"Enterprise, IT & Data Infrastructure",2020,01-Oct,Pre-Funding,71573659
BoatClick,https://finder.startupnationcentral.org/company_page/boatclick,Recreational Boating Parts and Accessories Marketplace,Retail & Marketing,2020,01-Oct,Pre-Funding,66949036
Situgen Med,https://finder.startupnationcentral.org/company_page/situgen-med,Cord Blood Collection Device,Life Sciences & HealthTech,2016,01-Oct,Seed,17882433
ClearSkin,https://finder.startupnationcentral.org/company_page/clearskin,Microbiomic Treatment for Psoriasis and Other Skin Conditions,Life Sciences & HealthTech,2017,01-Oct,Pre-Funding,64275262
Comovid,https://finder.startupnationcentral.org/company_page/comovid,AI Video Content Platform,Retail & Marketing,2017,01-Oct,Pre-Funding,18301502
POPIN Toys,https://finder.startupnationcentral.org/company_page/popin-playgrounds,Folding Playgrounds for In-home Use,Content & Media,2016,01-Oct,Pre-Funding,4850027
KARma Technologies,https://finder.startupnationcentral.org/company_page/karma-technologies,Wireless Virtual-reality Solutions,Content & Media,2016,01-Oct,Seed,10504299
OMB Guitars,https://finder.startupnationcentral.org/company_page/omb,Guitar Add-on for Auto Accompaniment in Real Time ,Content & Media,2010,01-Oct,Pre-Funding,5360678
Ozzystory,https://finder.startupnationcentral.org/company_page/ozzystory,Special Education Content,Content & Media,2022,01-Oct,Pre-Funding,86321418
Ofertex,https://finder.startupnationcentral.org/company_page/ofertex,Recycled Cleaning and Home Textile Materials,Industrial Technologies,1997,Nov-50,Pre-Funding,
WellActive,https://finder.startupnationcentral.org/company_page/wellactive,VR/AR Physiotherapy Solution ,Life Sciences & HealthTech,2019,01-Oct,Pre-Funding,
Bamboo Cloud,https://finder.startupnationcentral.org/company_page/panda-os,Video Content Solutions for Businesses ,Content & Media,2013,01-Oct,Pre-Funding,3061746
Medic4all,https://finder.startupnationcentral.org/company_page/medic4all,Telemedicine Services and Technology,Life Sciences & HealthTech,2002,01-Oct,Pre-Funding,92584
Niloosoft,https://finder.startupnationcentral.org/company_page/niloosoft,Recruitment SaaS,"Enterprise, IT & Data Infrastructure",2003,Nov-50,Pre-Funding,489499
CliniClicks,https://finder.startupnationcentral.org/company_page/cliniclicks,Customizable Management Application for Clinics,Life Sciences & HealthTech,2013,01-Oct,Seed,3327391
ConicIT,https://finder.startupnationcentral.org/company_page/conicit,AI Engine for Optimizing Mainframe Performance,"Enterprise, IT & Data Infrastructure",2008,Nov-50,Pre-Funding,879679
Orthoflex,https://finder.startupnationcentral.org/company_page/orthoflex,Functional Orthopedic Bracing,Life Sciences & HealthTech,2004,Nov-50,Pre-Funding,3134530
BioGuard,https://finder.startupnationcentral.org/company_page/bio-guard,Biometric Solutions,Security Technologies,1995,Nov-50,Pre-Funding,1933249
Bel Technologies,https://finder.startupnationcentral.org/company_page/bel,Water Treatment and Processing Products,AgriFood-tech & Water,1966,Nov-50,Pre-Funding,2574884
VR STEPS,https://finder.startupnationcentral.org/company_page/vr-steps,Remote Physiotherapy and Rehabilitation Platform,Life Sciences & HealthTech,2018,01-Oct,Pre-Funding,72460124
Vong Medical,https://finder.startupnationcentral.org/company_page/vong-medical,Transcatheter Mitral and Tricuspid Heart Valves,Life Sciences & HealthTech,2018,01-Oct,Pre-Funding,
Acropolis,https://finder.startupnationcentral.org/company_page/acropolis,Business Intelligence Analysis,"Enterprise, IT & Data Infrastructure",2020,01-Oct,Seed,74597734
Must-Quito,https://finder.startupnationcentral.org/company_page/must-quito,Mosquito Population Control,AgriFood-tech & Water,2014,01-Oct,Pre-Funding,
muzy,https://finder.startupnationcentral.org/company_page/muzy,Musical Note Language,Content & Media,2013,01-Oct,Pre-Funding,
ActiveAging,https://finder.startupnationcentral.org/company_page/activeaging,"AI-driven, proactive benefits optimization and management platform for health payers",Life Sciences & HealthTech,2020,01-Oct,Seed,
Ordinero,https://finder.startupnationcentral.org/company_page/ordinero,Stealth Mode Company,"Enterprise, IT & Data Infrastructure",2022,01-Oct,Pre-Funding,77668465
BIA Ceuticals,https://finder.startupnationcentral.org/company_page/bia-ceuticals,Smart Botanical Pharmaceutical Products,Life Sciences & HealthTech,2017,01-Oct,Pre-Funding,20572005
SeeMe Class,https://finder.startupnationcentral.org/company_page/seeme-class,Digital Mapping Tool for Teachers,Content & Media,2019,01-Oct,Pre-Funding,
Hydrantech,https://finder.startupnationcentral.org/company_page/hydrantech,Fire Hydrant Protection and Monitoring System,AgriFood-tech & Water,2015,01-Oct,Seed,
Nidaria Technology,https://finder.startupnationcentral.org/company_page/nidaria-technology,Sunscreen and Jellyfish Protection,Life Sciences & HealthTech,1997,01-Oct,Pre-Funding,13059893
Velis Media,https://finder.startupnationcentral.org/company_page/velis-media,Online Marketing Platform for Brands and Publishers,Retail & Marketing,2012,01-Oct,Pre-Funding,2812327
Duke Robotic Systems,https://finder.startupnationcentral.org/company_page/duke-robotic-systems,Robotics Stabilization System,Aerospace & Aviation,2014,Nov-50,Mature,18193222
BudUP,https://finder.startupnationcentral.org/company_page/budup,A Safe Bud Dormancy Break Solution,AgriFood-tech & Water,2017,01-Oct,Seed,
PhloemAid,https://finder.startupnationcentral.org/company_page/phloemaid,Biopesticides to Combat Phloem Bacterial Pathogens,AgriFood-tech & Water,2016,01-Oct,Seed,
